Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
PTN,Pleiotrophin,Protein Coding,P21246,50,GC07M137227,5.604173183,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTN
BSG,Basigin (Ok Blood Group),Protein Coding,P35613,53,GC19P000571,5.589741707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG
ADAMTSL1,ADAMTS Like 1,Protein Coding,Q8N6G6,50,GC09P017906,5.549712181,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTSL1
RAC1,Rac Family Small GTPase 1,Protein Coding,P63000,58,GC07P011586,5.534986496,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1
UNC5B,Unc-5 Netrin Receptor B,Protein Coding,Q8IZJ1,44,GC10P071212,5.527231216,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC5B
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,P37231,61,GC03P012287,5.501745224,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG
AKT2,AKT Serine/Threonine Kinase 2,Protein Coding,P31751,62,GC19M040230,5.489822865,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,59,GC18M063123,5.487888813,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
TNMD,Tenomodulin,Protein Coding,Q9H2S6,41,GC0XP100584,5.461715698,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNMD
PROK1,Prokineticin 1,Protein Coding,P58294,44,GC01P110451,5.425464153,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROK1
WARS1,Tryptophanyl-TRNA Synthetase 1,Protein Coding,P23381,54,GC14M119835,5.400617599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WARS1
TMX2-CTNND1,TMX2-CTNND1 Readthrough (NMD Candidate),RNA Gene,,23,GC11P057712,5.396582127,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1
PTGS1,Prostaglandin-Endoperoxide Synthase 1,Protein Coding,P23219,55,GC09P122370,5.38206768,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1
RHOJ,Ras Homolog Family Member J,Protein Coding,Q9H4E5,44,GC14P063204,5.373836517,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOJ
MIAT,Myocardial Infarction Associated Transcript,RNA Gene,,32,GC22P026646,5.363279343,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIAT
BIRC5,Baculoviral IAP Repeat Containing 5,Protein Coding,O15392,55,GC17P078214,5.34342289,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5
PDGFA,Platelet Derived Growth Factor Subunit A,Protein Coding,P04085,53,GC07M000497,5.343048096,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFA
FGFR4,Fibroblast Growth Factor Receptor 4,Protein Coding,P22455,60,GC05P177086,5.282693863,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR4
LRP5,LDL Receptor Related Protein 5,Protein Coding,O75197,58,GC11P068298,5.255670071,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP5
IFNG,Interferon Gamma,Protein Coding,P01579,59,GC12M068154,5.225322723,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG
CNMD,Chondromodulin,Protein Coding,O75829,46,GC13M052704,5.202177525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNMD
CASP3,Caspase 3,Protein Coding,P42574,58,GC04M184627,5.199848652,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3
AIMP1,Aminoacyl TRNA Synthetase Complex Interacting Multifunctional Protein 1,Protein Coding,Q12904,53,GC04P106315,5.194957733,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIMP1
SERPINB5,Serpin Family B Member 5,Protein Coding,P36952,52,GC18P063476,5.194247246,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB5
GAS5,Growth Arrest Specific 5,RNA Gene,,31,GC01M173947,5.187336922,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5
VCAM1,Vascular Cell Adhesion Molecule 1,Protein Coding,P19320,55,GC01P100719,5.18702507,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1
CA9,Carbonic Anhydrase 9,Protein Coding,Q16790,55,GC09P035673,5.185620785,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA9
CD44,CD44 Molecule (IN Blood Group),Protein Coding,P16070,57,GC11P035139,5.171790123,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44
F2RL1,F2R Like Trypsin Receptor 1,Protein Coding,P55085,53,GC05P076818,5.15542841,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1
AGTR1,Angiotensin II Receptor Type 1,Protein Coding,P30556,60,GC03P148697,5.154707909,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1
KRIT1,KRIT1 Ankyrin Repeat Containing,Protein Coding,O00522,51,GC07M092198,5.128085613,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRIT1
SP1,Sp1 Transcription Factor,Protein Coding,P08047,55,GC12P053380,5.096502781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
PRKD1,Protein Kinase D1,Protein Coding,Q15139,58,GC14M029576,5.066182137,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKD1
ANGPTL4,Angiopoietin Like 4,Protein Coding,Q9BY76,53,GC19P008363,5.061609268,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL4
SPARC,Secreted Protein Acidic And Cysteine Rich,Protein Coding,P09486,58,GC05M151661,5.056140423,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPARC
SELE,Selectin E,Protein Coding,P16581,53,GC01M169722,5.049562454,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE
SOD2-OT1,SOD2 Overlapping Transcript 1,RNA Gene,,18,GC06M159772,5.017686844,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P01106,61,GC08P127735,5.013210297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
